Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Finland,Western Europe,1,7.741,1.844,1.572,0.695,0.859,0.546,0.142,2.082
Denmark,Western Europe,2,7.583,1.908,1.52,0.699,0.823,0.548,0.204,1.881
Iceland,Western Europe,3,7.525,1.881,1.617,0.718,0.819,0.182,0.258,2.05
Sweden,Western Europe,4,7.344,1.878,1.501,0.724,0.838,0.524,0.221,1.658
Israel,Middle East and Northern Africa,5,7.341,1.803,1.513,0.74,0.641,0.193,0.153,2.298
Netherlands,Western Europe,6,7.319,1.901,1.462,0.706,0.725,0.372,0.247,1.906
Norway,Western Europe,7,7.302,1.952,1.517,0.704,0.835,0.484,0.224,1.586
Luxembourg,Western Europe,8,7.122,2.141,1.355,0.708,0.801,0.432,0.146,1.54
Switzerland,Western Europe,9,7.06,1.97,1.425,0.747,0.759,0.498,0.173,1.488
Australia,Australia and New Zealand,10,7.057,1.854,1.461,0.692,0.756,0.323,0.225,1.745
New Zealand,Australia and New Zealand,11,7.029,1.81,1.527,0.673,0.746,0.48,0.226,1.567
Costa Rica,Latin America and Caribbean,12,6.955,1.561,1.373,0.661,0.797,0.123,0.109,2.333
Kuwait,Middle East and Northern Africa,13,6.951,1.845,1.364,0.661,0.827,0.172,0.2,1.884
Austria,Western Europe,14,6.905,1.885,1.336,0.696,0.703,0.305,0.214,1.766
Canada,North America,15,6.9,1.84,1.459,0.701,0.73,0.368,0.23,1.572
Belgium,Western Europe,16,6.894,1.868,1.44,0.69,0.729,0.311,0.17,1.686
Ireland,Western Europe,17,6.838,2.129,1.39,0.7,0.758,0.418,0.205,1.239
Czech Republic,Central and Eastern Europe,18,6.822,1.783,1.511,0.638,0.787,0.068,0.177,1.858
Lithuania,Central and Eastern Europe,19,6.818,1.766,1.454,0.598,0.533,0.116,0.044,2.307
United Kingdom,Western Europe,20,6.749,1.822,1.326,0.672,0.713,0.351,0.267,1.598
Slovenia,Central and Eastern Europe,21,6.743,1.786,1.502,0.695,0.789,0.131,0.157,1.683
United Arab Emirates,Middle East and Northern Africa,22,6.733,1.983,1.164,0.563,0.815,0.258,0.209,1.741
United States,North America,23,6.725,1.939,1.392,0.542,0.586,0.169,0.223,1.873
Germany,Western Europe,24,6.719,1.871,1.39,0.702,0.7,0.368,0.174,1.513
Mexico,Latin America and Caribbean,25,6.678,1.521,1.241,0.544,0.722,0.127,0.086,2.437
Uruguay,Latin America and Caribbean,26,6.611,1.596,1.431,0.592,0.775,0.22,0.106,1.891
France,Western Europe,27,6.609,1.818,1.348,0.727,0.65,0.281,0.112,1.672
Saudi Arabia,Middle East and Northern Africa,28,6.594,1.842,1.361,0.511,0.787,0.188,0.114,1.79
Kosovo,Central and Eastern Europe,29,6.561,1.364,1.277,0.599,0.739,0.073,0.254,2.255
Singapore,Southeastern Asia,30,6.523,2.118,1.361,0.769,0.743,0.575,0.168,0.788
Taiwan Province of China,Eastern Asia,31,6.503,1.842,1.346,0.65,0.649,0.202,0.068,1.747
Romania,Central and Eastern Europe,32,6.491,1.699,1.236,0.583,0.717,0.006,0.041,2.21
El Salvador,Latin America and Caribbean,33,6.469,1.265,1.08,0.549,0.816,0.253,0.083,2.424
Estonia,Central and Eastern Europe,34,6.448,1.752,1.527,0.657,0.805,0.401,0.166,1.138
Poland,Central and Eastern Europe,35,6.442,1.738,1.417,0.639,0.6,0.175,0.081,1.791
Spain,Western Europe,36,6.421,1.766,1.471,0.729,0.619,0.177,0.119,1.54
Serbia,Central and Eastern Europe,37,6.411,1.538,1.391,0.585,0.663,0.101,0.2,1.932
Chile,Latin America and Caribbean,38,6.36,1.616,1.369,0.673,0.651,0.075,0.117,1.858
Panama,Latin America and Caribbean,39,6.358,1.702,1.392,0.633,0.72,0.043,0.063,1.806
Malta,Western Europe,40,6.346,1.827,1.444,0.707,0.727,0.125,0.25,1.267
Italy,Western Europe,41,6.324,1.8,1.328,0.72,0.513,0.074,0.112,1.777
Guatemala,Latin America and Caribbean,42,6.287,1.26,1.169,0.467,0.735,0.078,0.105,2.473
Nicaragua,Latin America and Caribbean,43,6.284,1.097,1.263,0.542,0.793,0.251,0.133,2.203
Brazil,Latin America and Caribbean,44,6.272,1.43,1.269,0.548,0.685,0.142,0.13,2.068
Slovakia,Central and Eastern Europe,45,6.257,1.706,1.54,0.638,0.566,0.058,0.096,1.653
Latvia,Central and Eastern Europe,46,6.234,1.7,1.508,0.564,0.666,0.078,0.127,1.59
Uzbekistan,Central and Eastern Europe,47,6.195,1.212,1.394,0.539,0.835,0.215,0.251,1.749
Argentina,Latin America and Caribbean,48,6.188,1.562,1.381,0.585,0.681,0.08,0.087,1.812
Kazakhstan,Central and Eastern Europe,49,6.188,1.622,1.457,0.556,0.733,0.12,0.149,1.551
Cyprus,Western Europe,50,6.068,1.794,1.217,0.744,0.529,0.049,0.124,1.611
Japan,Eastern Asia,51,6.06,1.786,1.354,0.785,0.632,0.219,0.023,1.261
South Korea,Eastern Asia,52,6.058,1.815,1.178,0.77,0.555,0.158,0.126,1.456
Philippines,Southeastern Asia,53,6.048,1.232,1.146,0.441,0.826,0.136,0.099,2.167
Vietnam,Southeastern Asia,54,6.043,1.331,1.267,0.539,0.843,0.16,0.094,1.81
Portugal,Western Europe,55,6.03,1.728,1.368,0.699,0.757,0.035,0.047,1.397
Hungary,Central and Eastern Europe,56,6.017,1.722,1.528,0.596,0.581,0.067,0.123,1.4
