Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Peru,Latin America and Caribbean,65,5.947,1.323,1.364,0.551,0.71,0.021,0.05,1.929
Russia,Central and Eastern Europe,66,5.945,1.63,1.549,0.47,0.702,0.125,0.095,1.373
Cyprus,Western Europe,67,5.942,1.72,1.348,0.84,0.612,0.041,0.108,1.273
China,Eastern Asia,68,5.921,1.445,1.307,0.789,0.764,0.154,0.079,1.382
Hungary,Central and Eastern Europe,69,5.915,1.638,1.742,0.587,0.681,0.057,0.099,1.111
Trinidad and Tobago,Latin America and Caribbean,70,5.905,1.549,1.532,0.419,0.76,0.001,0.111,1.533
Montenegro,Central and Eastern Europe,71,5.877,1.507,1.551,0.618,0.768,0.138,0.075,1.22
Croatia,Central and Eastern Europe,72,5.87,1.644,1.673,0.669,0.478,0.065,0.022,1.319
Jamaica,Latin America and Caribbean,73,5.87,1.182,1.545,0.504,0.869,0.019,0.075,1.676
Bolivia,Latin America and Caribbean,74,5.868,1.173,1.356,0.346,0.817,0.052,0.067,2.057
Kyrgyzstan,Central and Eastern Europe,75,5.858,1.032,1.715,0.647,0.981,0.053,0.169,1.261
Dominican Republic,Latin America and Caribbean,76,5.846,1.457,1.5,0.615,0.866,0.186,0.063,1.16
Mongolia,Eastern Asia,77,5.833,1.336,1.731,0.423,0.629,0.053,0.18,1.481
Mauritius,Sub-Saharan Africa,78,5.832,1.499,1.521,0.617,0.761,0.13,0.095,1.209
Libya,Middle East and Northern Africa,79,5.82,1.247,1.309,0.549,0.724,0.214,0.111,1.666
Moldova,Central and Eastern Europe,80,5.819,1.332,1.43,0.414,0.83,0.037,0.054,1.722
Greece,Western Europe,81,5.776,1.608,1.438,0.725,0.396,0.063,0.003,1.543
Venezuela,Latin America and Caribbean,82,5.683,0,1.493,0.515,0.702,0.117,0.154,2.701
Indonesia,Southeastern Asia,83,5.617,1.288,1.372,0.454,0.918,0.044,0.323,1.218
Algeria,Middle East and Northern Africa,84,5.571,1.315,1.363,0.782,0.522,0.219,0.057,1.313
Bulgaria,Central and Eastern Europe,85,5.554,1.573,1.725,0.463,0.708,0,0.055,1.029
North Macedonia,Central and Eastern Europe,86,5.503,1.458,1.537,0.544,0.637,0.007,0.13,1.19
Armenia,Central and Eastern Europe,87,5.494,1.391,1.349,0.828,0.786,0.158,0.032,0.95
Hong Kong S.A.R. of China,Eastern Asia,88,5.491,1.79,1.41,0.948,0.674,0.386,0.116,0.168
Albania,Central and Eastern Europe,89,5.411,1.371,1.122,0.696,0.841,0.057,0.103,1.22
Tajikistan,Central and Eastern Europe,90,5.411,0.914,1.555,0.658,0,0.342,0.085,1.857
Georgia,Central and Eastern Europe,91,5.4,1.444,1.275,0.482,0.844,0.172,0,1.182
Nepal,Southern Asia,92,5.311,0.944,1.21,0.463,0.764,0.099,0.155,1.676
Laos,Southeastern Asia,93,5.301,1.122,1.01,0.493,0.916,0.164,0.145,1.452
Turkey,Middle East and Northern Africa,94,5.262,1.582,1.444,0.626,0.244,0.104,0.04,1.223
South Africa,Sub-Saharan Africa,95,5.213,1.283,1.465,0.142,0.676,0.043,0.064,1.54
Mozambique,Sub-Saharan Africa,96,5.19,0.559,1.131,0.124,0.813,0.173,0.127,2.262
Gabon,Sub-Saharan Africa,97,5.12,1.386,1.224,0.387,0.651,0.086,0.042,1.343
Ivory Coast,Sub-Saharan Africa,98,5.102,1.038,0.76,0.206,0.661,0.162,0.1,2.176
Iran,Middle East and Northern Africa,99,5.093,1.33,1.367,0.609,0.456,0.122,0.202,1.007
Congo,Sub-Saharan Africa,100,5.03,1.023,0.796,0.336,0.626,0.126,0.082,2.04
Iraq,Middle East and Northern Africa,101,4.976,1.261,1.275,0.589,0.503,0.069,0.1,1.178
Guinea,Sub-Saharan Africa,102,4.929,0.873,0.791,0.306,0.676,0.098,0.157,2.027
Namibia,Sub-Saharan Africa,103,4.911,1.182,1.482,0.104,0.564,0.056,0.052,1.47
Cameroon,Sub-Saharan Africa,104,4.887,0.944,0.986,0.302,0.662,0.06,0.099,1.834
Nigeria,Sub-Saharan Africa,105,4.885,0.989,1.245,0.38,0.639,0.028,0.17,1.433
Azerbaijan,Central and Eastern Europe,106,4.875,1.428,1.03,0.707,0.785,0.179,0.076,0.67
Senegal,Sub-Saharan Africa,107,4.856,0.907,0.977,0.433,0.767,0.09,0.129,1.553
State of Palestine,Middle East and Northern Africa,108,4.78,1.047,1.456,0,0.618,0.081,0.055,1.523
Pakistan,Southern Asia,109,4.768,0.982,0.759,0.417,0.529,0.046,0.136,1.898
Niger,Sub-Saharan Africa,110,4.725,0.606,0.796,0.258,0.759,0.137,0.122,2.048
Ukraine,Central and Eastern Europe,111,4.68,1.328,1.472,0.472,0.689,0.023,0.245,0.451
Morocco,Middle East and Northern Africa,112,4.622,1.139,0.635,0.585,0.748,0.095,0.031,1.388
Tunisia,Middle East and Northern Africa,113,4.552,1.257,1.224,0.459,0.382,0.05,0.032,1.149
Mauritania,Sub-Saharan Africa,114,4.542,1.023,0.919,0.516,0.454,0.195,0.113,1.323
Kenya,Sub-Saharan Africa,115,4.51,0.994,1.047,0.448,0.649,0.073,0.22,1.079
Uganda,Sub-Saharan Africa,116,4.461,0.762,1.342,0.396,0.751,0.05,0.148,1.012
Gambia,Sub-Saharan Africa,117,4.423,0.778,0.958,0.348,0.611,0.045,0.255,1.428
India,Southern Asia,118,4.389,1.149,0.86,0.316,0.914,0.12,0.141,0.889
Chad,Sub-Saharan Africa,119,4.384,0.592,0.902,0.242,0.477,0.111,0.175,1.884
Burkina Faso,Sub-Saharan Africa,120,4.383,0.724,0.828,0.296,0.671,0.218,0.142,1.504
Benin,Sub-Saharan Africa,121,4.357,0.855,0.228,0.357,0.679,0.238,0.092,1.909
Somalia,Sub-Saharan Africa,122,4.347,0.535,0.877,0.046,0.916,0.192,0.206,1.575
Mali,Sub-Saharan Africa,123,4.345,0.709,0.908,0.318,0.767,0.114,0.093,1.436
Cambodia,Southeastern Asia,124,4.341,1.049,1.215,0.481,0.988,0.078,0.138,0.393
Ghana,Sub-Saharan Africa,125,4.34,1.053,1.01,0.438,0.771,0.025,0.139,0.904
Myanmar,Southeastern Asia,126,4.321,0.975,1.144,0.446,0.569,0.163,0.322,0.702
Togo,Sub-Saharan Africa,127,4.315,0.757,0.736,0.378,0.576,0.153,0.097,1.618
Jordan,Middle East and Northern Africa,128,4.31,1.158,1.202,0.573,0.7,0.164,0.051,0.461
Liberia,Sub-Saharan Africa,129,4.277,0.582,0.888,0.324,0.653,0.068,0.143,1.618
Madagascar,Sub-Saharan Africa,130,4.157,0.588,0.938,0.341,0.292,0.118,0.131,1.751
Zambia,Sub-Saharan Africa,131,3.912,0.848,1.013,0.233,0.872,0.107,0.131,0.709
Ethiopia,Sub-Saharan Africa,132,3.898,0.757,1.051,0.416,0.54,0.1,0.182,0.852
Sri Lanka,Southern Asia,133,3.891,1.271,1.308,0.567,0.696,0.025,0.121,-0.099
Bangladesh,Southern Asia,134,3.851,1.116,0.286,0.592,0.92,0.132,0.11,0.695
Egypt,Middle East and Northern Africa,135,3.817,1.347,1.075,0.473,0.593,0.103,0.018,0.21
Tanzania,Sub-Saharan Africa,136,3.8,0.847,0.908,0.411,0.858,0.243,0.153,0.38
Eswatini,Sub-Saharan Africa,137,3.774,1.183,1.152,0.038,0.428,0.13,0.054,0.79
Lesotho,Sub-Saharan Africa,138,3.757,0.737,1.131,0,0.606,0.072,0.065,1.145
Comoros,Sub-Saharan Africa,139,3.754,0.835,0.501,0.428,0.26,0.164,0.117,1.45
Yemen,Middle East and Northern Africa,140,3.561,0.631,1.482,0.375,0.447,0.106,0.066,0.454
DR Congo,Sub-Saharan Africa,141,3.469,0.544,0.929,0.278,0.6,0.061,0.151,0.906
Botswana,Sub-Saharan Africa,142,3.438,1.388,1.146,0.094,0.697,0.083,0.018,0.012
Zimbabwe,Sub-Saharan Africa,143,3.396,0.827,0.961,0.178,0.598,0.131,0.065,0.636
Malawi,Sub-Saharan Africa,144,3.26,0.588,0.489,0.28,0.677,0.136,0.115,0.975
Lebanon,Middle East and Northern Africa,145,3.188,1.223,0.984,0.44,0.279,0.041,0.071,0.15
Sierra Leone,Sub-Saharan Africa,146,2.998,0.786,0.692,0.327,0.613,0.052,0.138,0.391
Afghanistan,Southern Asia,147,1.364,0.649,0,0.155,0,0.135,0.075,0.348
