Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Finland,Western Europe,1,7.804,1.888,1.585,0.535,0.772,0.535,0.126,2.363
Denmark,Western Europe,2,7.586,1.949,1.548,0.537,0.734,0.525,0.208,2.084
Iceland,Western Europe,3,7.53,1.926,1.62,0.559,0.738,0.187,0.25,2.25
Israel,Middle East and Northern Africa,4,7.473,1.833,1.521,0.577,0.569,0.158,0.124,2.691
Netherlands,Western Europe,5,7.403,1.942,1.488,0.545,0.672,0.394,0.251,2.11
Sweden,Western Europe,6,7.395,1.921,1.51,0.562,0.754,0.52,0.225,1.903
Norway,Western Europe,7,7.315,1.994,1.521,0.544,0.752,0.463,0.212,1.829
Switzerland,Western Europe,8,7.24,2.022,1.463,0.582,0.678,0.475,0.151,1.87
Luxembourg,Western Europe,9,7.228,2.2,1.357,0.549,0.71,0.418,0.149,1.845
New Zealand,Australia and New Zealand,10,7.123,1.842,1.544,0.513,0.672,0.471,0.23,1.852
Austria,Western Europe,11,7.097,1.927,1.382,0.535,0.63,0.31,0.191,2.124
Australia,Australia and New Zealand,12,7.095,1.899,1.497,0.532,0.677,0.31,0.242,1.938
Canada,North America,13,6.961,1.881,1.484,0.541,0.656,0.364,0.218,1.815
Ireland,Western Europe,14,6.911,2.152,1.425,0.539,0.656,0.409,0.186,1.545
United States,North America,15,6.894,1.98,1.46,0.39,0.557,0.172,0.21,2.124
Germany,Western Europe,16,6.892,1.919,1.401,0.539,0.618,0.365,0.153,1.898
Belgium,Western Europe,17,6.859,1.907,1.449,0.528,0.59,0.273,0.137,1.976
Czech Republic,Central and Eastern Europe,18,6.845,1.823,1.544,0.477,0.693,0.05,0.158,2.099
United Kingdom,Western Europe,19,6.796,1.857,1.366,0.511,0.626,0.34,0.272,1.822
Lithuania,Central and Eastern Europe,20,6.763,1.808,1.511,0.432,0.487,0.089,0.059,2.377
France,Western Europe,21,6.661,1.856,1.433,0.566,0.582,0.27,0.083,1.872
Slovenia,Central and Eastern Europe,22,6.65,1.815,1.539,0.532,0.707,0.113,0.144,1.799
Costa Rica,Latin America and Caribbean,23,6.609,1.587,1.34,0.503,0.683,0.116,0.099,2.281
Romania,Central and Eastern Europe,24,6.589,1.726,1.28,0.423,0.631,0,0.044,2.485
Singapore,Southeastern Asia,25,6.587,2.168,1.354,0.607,0.66,0.561,0.17,1.067
United Arab Emirates,Middle East and Northern Africa,26,6.571,2.015,1.223,0.401,0.745,0.247,0.188,1.752
Taiwan Province of China,Eastern Asia,27,6.535,1.89,1.372,0.492,0.562,0.178,0.067,1.974
Uruguay,Latin America and Caribbean,28,6.494,1.617,1.445,0.435,0.683,0.254,0.102,1.958
Slovakia,Central and Eastern Europe,29,6.469,1.731,1.544,0.472,0.494,0.022,0.128,2.078
Saudi Arabia,Middle East and Northern Africa,30,6.463,1.861,1.37,0.351,0.682,0.17,0.093,1.936
Estonia,Central and Eastern Europe,31,6.455,1.798,1.526,0.494,0.728,0.372,0.153,1.383
Spain,Western Europe,32,6.436,1.798,1.491,0.567,0.533,0.157,0.101,1.789
Italy,Western Europe,33,6.405,1.832,1.365,0.559,0.438,0.063,0.097,2.052
Kosovo,Central and Eastern Europe,34,6.368,1.374,1.269,0.372,0.639,0.045,0.275,2.393
Chile,Latin America and Caribbean,35,6.334,1.645,1.384,0.511,0.546,0.076,0.131,2.04
Mexico,Latin America and Caribbean,36,6.33,1.55,1.169,0.389,0.632,0.115,0.086,2.389
Malta,Western Europe,37,6.3,1.841,1.468,0.547,0.671,0.143,0.2,1.429
Panama,Latin America and Caribbean,38,6.265,1.714,1.402,0.475,0.63,0.036,0.065,1.943
Poland,Central and Eastern Europe,39,6.26,1.767,1.474,0.477,0.511,0.139,0.12,1.772
Nicaragua,Latin America and Caribbean,40,6.259,1.109,1.292,0.385,0.66,0.218,0.148,2.448
Latvia,Central and Eastern Europe,41,6.213,1.737,1.505,0.405,0.58,0.071,0.107,1.808
Bahrain,Middle East and Northern Africa,42,6.173,1.883,1.269,0.389,0.748,0.138,0.199,1.546
